"p","wallShearStress:0","wallShearStress:1","wallShearStress:2","Points:0","Points:1","Points:2"
0,0,0,0,0.010064,0.000624,0.3
0,0,0,0,0.010169,0.001276,0.3
0,0,0,0,0.010317,0.002053,0.3
0,0,0,0,0.010531,0.002956,0.3
0,0,0,0,0.010838,0.00399,0.3
0,0,0,0,0.011262,0.00516,0.3
0,0,0,0,0.01183,0.006468,0.3
0,0,0,0,0.012565,0.007918,0.3
0,0,0,0,0.01349,0.009509,0.3
0,0,0,0,0.014569,0.01116,0.3
0,0,0,0,0.015778,0.012837,0.3
0,0,0,0,0.017108,0.014534,0.3
0,0,0,0,0.018548,0.016242,0.3
0,0,0,0,0.021719,0.01966,0.3
0,0,0,0,0.025209,0.023027,0.3
0,0,0,0,0.028897,0.026246,0.3
0,0,0,0,0.030861,0.027842,0.3
0,0,0,0,0.032949,0.029467,0.3
0,0,0,0,0.035156,0.031117,0.3
0,0,0,0,0.037478,0.032791,0.3
0,0,0,0,0.039911,0.034484,0.3
0,0,0,0,0.04245,0.036194,0.3
0,0,0,0,0.047833,0.039656,0.3
0,0,0,0,0.053591,0.043152,0.3
0,0,0,0,0.059691,0.046662,0.3
0,0,0,0,0.0661,0.050162,0.3
0,0,0,0,0.072783,0.05363,0.3
0,0,0,0,0.079708,0.057044,0.3
0,0,0,0,0.086839,0.060381,0.3
0,0,0,0,0.094143,0.06362,0.3
0,0,0,0,0.10159,0.066737,0.3
0,0,0,0,0.10914,0.06971,0.3
0,0,0,0,0.11294,0.071135,0.3
0,0,0,0,0.11489,0.07185,0.3
0,0,0,0,0.117,0.072614,0.3
0,0,0,0,0.11928,0.073425,0.3
0,0,0,0,0.12171,0.07428,0.3
0,0,0,0,0.1243,0.075175,0.3
0,0,0,0,0.12704,0.076108,0.3
0,0,0,0,0.12979,0.077024,0.3
0,0,0,0,0.13268,0.077968,0.3
0,0,0,0,0.1357,0.078936,0.3
0,0,0,0,0.13886,0.079926,0.3
0,0,0,0,0.14215,0.080933,0.3
0,0,0,0,0.14557,0.081957,0.3
0,0,0,0,0.14912,0.082992,0.3
0,0,0,0,0.1528,0.084037,0.3
0,0,0,0,0.15661,0.085089,0.3
0,0,0,0,0.16055,0.086144,0.3
0,0,0,0,0.16461,0.0872,0.3
0,0,0,0,0.16879,0.088253,0.3
0,0,0,0,0.1731,0.089301,0.3
0,0,0,0,0.17752,0.09034,0.3
0,0,0,0,0.18207,0.091369,0.3
0,0,0,0,0.18673,0.092382,0.3
0,0,0,0,0.19151,0.093379,0.3
0,0,0,0,0.1964,0.094356,0.3
0,0,0,0,0.20141,0.095309,0.3
0,0,0,0,0.20653,0.096236,0.3
0,0,0,0,0.21176,0.097134,0.3
0,0,0,0,0.2171,0.098,0.3
0,0,0,0,0.22254,0.09883,0.3
0,0,0,0,0.22809,0.099623,0.3
0,0,0,0,0.23375,0.10038,0.3
0,0,0,0,0.23951,0.10108,0.3
0,0,0,0,0.24537,0.10174,0.3
0,0,0,0,0.25133,0.10235,0.3
0,0,0,0,0.2574,0.10291,0.3
0,0,0,0,0.26355,0.10341,0.3
0,0,0,0,0.26981,0.10386,0.3
0,0,0,0,0.27616,0.10424,0.3
0,0,0,0,0.28779,0.10476,0.3
0,0,0,0,0.29972,0.10505,0.3
0,0,0,0,0.30584,0.10511,0.3
0,0,0,0,0.31206,0.10512,0.3
0,0,0,0,0.31838,0.10506,0.3
0,0,0,0,0.3248,0.10495,0.3
0,0,0,0,0.33131,0.10479,0.3
0,0,0,0,0.33792,0.10457,0.3
0,0,0,0,0.35141,0.10399,0.3
0,0,0,0,0.36523,0.1032,0.3
0,0,0,0,0.37937,0.10222,0.3
0,0,0,0,0.39379,0.10107,0.3
0,0,0,0,0.40848,0.099741,0.3
0,0,0,0,0.42341,0.098249,0.3
0,0,0,0,0.43856,0.096603,0.3
0,0,0,0,0.4539,0.094811,0.3
0,0,0,0,0.46941,0.092883,0.3
0,0,0,0,0.48506,0.090827,0.3
0,0,0,0,0.50084,0.088652,0.3
0,0,0,0,0.52619,0.084958,0.3
0,0,0,0,0.55169,0.081019,0.3
0,0,0,0,0.57724,0.076873,0.3
0,0,0,0,0.60275,0.072553,0.3
0,0,0,0,0.62812,0.068097,0.3
0,0,0,0,0.65324,0.063539,0.3
0,0,0,0,0.67803,0.058917,0.3
0,0,0,0,0.69027,0.056592,0.3
0,0,0,0,0.70239,0.054265,0.3
0,0,0,0,0.71331,0.052147,0.3
0,0,0,0,0.72411,0.050033,0.3
0,0,0,0,0.73479,0.047927,0.3
0,0,0,0,0.74532,0.045833,0.3
0,0,0,0,0.75571,0.043754,0.3
0,0,0,0,0.76594,0.041694,0.3
0,0,0,0,0.77601,0.039655,0.3
0,0,0,0,0.7859,0.037641,0.3
0,0,0,0,0.79561,0.035655,0.3
0,0,0,0,0.80513,0.033702,0.3
0,0,0,0,0.81444,0.031783,0.3
0,0,0,0,0.82354,0.029904,0.3
0,0,0,0,0.83242,0.028066,0.3
0,0,0,0,0.84108,0.026274,0.3
0,0,0,0,0.84949,0.024531,0.3
0,0,0,0,0.85765,0.022839,0.3
0,0,0,0,0.86392,0.021543,0.3
0,0,0,0,0.87002,0.020283,0.3
0,0,0,0,0.87595,0.019061,0.3
0,0,0,0,0.88171,0.017879,0.3
0,0,0,0,0.88729,0.016738,0.3
0,0,0,0,0.89268,0.01564,0.3
0,0,0,0,0.89789,0.014587,0.3
0,0,0,0,0.90291,0.01358,0.3
0,0,0,0,0.88288,0.012065,0.3
0,0,0,0,0.86274,0.010877,0.3
0,0,0,0,0.83776,0.009192,0.3
0,0,0,0,0.81253,0.007237,0.3
0,0,0,0,0.79979,0.006149,0.3
0,0,0,0,0.78697,0.004983,0.3
0,0,0,0,0.77405,0.003735,0.3
0,0,0,0,0.76102,0.002401,0.3
0,0,0,0,0.74787,0.000979,0.3
0,0,0,0,0.7346,-0.000535,0.3
0,0,0,0,0.72119,-0.002146,0.3
0,0,0,0,0.70763,-0.003856,0.3
0,0,0,0,0.69392,-0.00567,0.3
0,0,0,0,0.68004,-0.00759,0.3
0,0,0,0,0.66607,-0.009608,0.3
0,0,0,0,0.6522,-0.011689,0.3
0,0,0,0,0.62601,-0.015799,0.3
0,0,0,0,0.60018,-0.020028,0.3
0,0,0,0,0.57463,-0.024311,0.3
0,0,0,0,0.54929,-0.028584,0.3
0,0,0,0,0.5241,-0.032782,0.3
0,0,0,0,0.49898,-0.03684,0.3
0,0,0,0,0.47385,-0.040693,0.3
0,0,0,0,0.44866,-0.044277,0.3
0,0,0,0,0.43523,-0.046047,0.3
0,0,0,0,0.42174,-0.047714,0.3
0,0,0,0,0.4082,-0.049267,0.3
0,0,0,0,0.39459,-0.050697,0.3
0,0,0,0,0.38088,-0.051994,0.3
0,0,0,0,0.36709,-0.053149,0.3
0,0,0,0,0.35319,-0.054151,0.3
0,0,0,0,0.33917,-0.054992,0.3
0,0,0,0,0.32503,-0.055661,0.3
0,0,0,0,0.31075,-0.056148,0.3
0,0,0,0,0.29627,-0.056447,0.3
0,0,0,0,0.28154,-0.05654,0.3
0,0,0,0,0.27405,-0.056494,0.3
0,0,0,0,0.2664,-0.056366,0.3
0,0,0,0,0.25861,-0.056157,0.3
0,0,0,0,0.2507,-0.055865,0.3
0,0,0,0,0.24267,-0.055492,0.3
0,0,0,0,0.23454,-0.055036,0.3
0,0,0,0,0.22632,-0.054498,0.3
0,0,0,0,0.21802,-0.053877,0.3
0,0,0,0,0.20716,-0.052948,0.3
0,0,0,0,0.19622,-0.051879,0.3
0,0,0,0,0.18523,-0.05067,0.3
0,0,0,0,0.17423,-0.049322,0.3
0,0,0,0,0.16324,-0.047833,0.3
0,0,0,0,0.15229,-0.046204,0.3
0,0,0,0,0.14141,-0.044435,0.3
0,0,0,0,0.13063,-0.042525,0.3
0,0,0,0,0.11999,-0.040475,0.3
0,0,0,0,0.1095,-0.038283,0.3
0,0,0,0,0.099196,-0.03595,0.3
0,0,0,0,0.089112,-0.033476,0.3
0,0,0,0,0.079273,-0.030861,0.3
0,0,0,0,0.069709,-0.028103,0.3
0,0,0,0,0.06504,-0.026671,0.3
0,0,0,0,0.060302,-0.025144,0.3
0,0,0,0,0.055231,-0.023399,0.3
0,0,0,0,0.049918,-0.021449,0.3
0,0,0,0,0.044087,-0.019155,0.3
0,0,0,0,0.038219,-0.016664,0.3
0,0,0,0,0.03244,-0.013994,0.3
0,0,0,0,0.026872,-0.011165,0.3
0,0,0,0,0.021642,-0.008197,0.3
0,0,0,0,0.019192,-0.006666,0.3
0,0,0,0,0.016873,-0.005108,0.3
0,0,0,0,0.0147,-0.003525,0.3
0,0,0,0,0.013675,-0.002726,0.3
0,0,0,0,0.012765,-0.001979,0.3
0,0,0,0,0.011296,-0.000641,0.3
2060.5,-2.2643,0.27839,4.2149e-18,1,0,0.3
2060.5,-2.2643,0.27839,4.2149e-18,1,9e-06,0.3
1560.2,-0.98093,0.32321,3.9418e-18,1,1.9e-05,0.3
1560.2,-0.98093,0.32321,3.9418e-18,1,2.9e-05,0.3
1560.2,-0.98093,0.32321,3.9418e-18,1,4e-05,0.3
1560.2,-0.98093,0.32321,3.9418e-18,1,5e-05,0.3
1560.2,-0.98093,0.32321,3.9418e-18,1,6.1e-05,0.3
1560.2,-0.98093,0.32321,3.9418e-18,0.99999,8.4e-05,0.3
1560.2,-0.98093,0.32321,3.9418e-18,0.99997,0.000108,0.3
1560.2,-0.98093,0.32321,3.9418e-18,0.99995,0.000133,0.3
1560.2,-0.98093,0.32321,3.9418e-18,0.9999,0.000186,0.3
1560.2,-0.98093,0.32321,3.9418e-18,0.99972,0.000307,0.3
1560.2,-0.98093,0.32321,3.9418e-18,0.99947,0.000447,0.3
1506.6,-1.3905,0.41503,3.8195e-18,0.99871,0.000782,0.3
1506.6,-1.3905,0.41503,3.8195e-18,0.99764,0.00119,0.3
1506.6,-1.3905,0.41503,3.8195e-18,0.99628,0.001666,0.3
1447,-1.4332,0.45712,5.7087e-18,0.99464,0.002206,0.3
1402.5,-2.062,0.67888,9.1806e-18,0.99274,0.002804,0.3
1332.1,-3.1579,1.04,1.3026e-17,0.9906,0.003456,0.3
1199.5,-6.9847,2.3048,2.4886e-17,0.98825,0.004152,0.3
1132.7,-10.331,3.1377,3.6441e-17,0.98573,0.004886,0.3
1123.6,-12.219,3.6704,3.8705e-17,0.98304,0.005651,0.3
978.85,-16.53,4.8867,5.6443e-17,0.98023,0.006438,0.3
720.51,-18.518,5.4417,7.5453e-17,0.97434,0.008047,0.3
667.76,-20.298,4.8837,4.3811e-17,0.96827,0.00965,0.3
549.94,-20.952,5.0403,4.6981e-17,0.96223,0.011195,0.3
432.79,-21.662,5.2032,4.6749e-17,0.95637,0.01264,0.3
315.99,-23.898,5.1537,5.0601e-17,0.95081,0.013962,0.3
267,-23.794,5.1366,4.7939e-17,0.94553,0.015165,0.3
132.46,-24.569,5.2988,5.1687e-17,0.93541,0.017328,0.3
50.189,-25.114,5.4178,5.2479e-17,0.93018,0.018384,0.3
-27.71,-25.93,5.5535,5.2421e-17,0.92742,0.018931,0.3
-37.888,-26.289,5.4251,5.1697e-17,0.92453,0.019502,0.3
-73.454,-26.31,5.4349,5.299e-17,0.92147,0.020103,0.3
-99.523,-26.306,5.4316,5.2229e-17,0.91822,0.020743,0.3
-141.96,-26.65,5.5002,5.3126e-17,0.91473,0.021429,0.3
-185.13,-26.85,5.5443,5.3475e-17,0.91099,0.022168,0.3
-235.67,-27.145,5.6021,5.4657e-17,0.90697,0.022967,0.3
-281.77,-27.473,5.6694,5.8632e-17,0.90265,0.023831,0.3
-359.54,-28.056,5.786,5.4386e-17,0.898,0.024767,0.3
-400.95,-28.567,5.785,5.1263e-17,0.89301,0.025777,0.3
-463.89,-28.712,5.8134,5.19e-17,0.88767,0.026865,0.3
-526.47,-29.161,5.909,5.1092e-17,0.88197,0.028031,0.3
-594.55,-29.558,5.9852,5.555e-17,0.87593,0.029276,0.3
-660.32,-29.932,6.0635,5.8521e-17,0.86954,0.030597,0.3
-743.75,-30.366,6.1521,4.8292e-17,0.86283,0.03199,0.3
-811.88,-30.841,6.2047,4.076e-17,0.85582,0.033449,0.3
-895.42,-31.219,6.2838,3.944e-17,0.84854,0.034969,0.3
-983.17,-31.641,6.3667,5.0783e-17,0.84102,0.03654,0.3
-1072.9,-32.137,6.4692,4.1504e-17,0.8333,0.038155,0.3
-1156.2,-32.61,6.5606,5.0205e-17,0.82542,0.039803,0.3
-1337.6,-33.648,6.7259,5.0389e-17,0.80935,0.043163,0.3
-1728.8,-35.768,7.1093,7.3871e-17,0.77678,0.049933,0.3
-1911.1,-36.551,7.2533,5.6269e-17,0.76066,0.053254,0.3
-2106.5,-37.684,7.4812,6.8657e-17,0.74485,0.056488,0.3
-2211.8,-38.368,7.6133,6.6526e-17,0.73709,0.058064,0.3
-2324.6,-39.117,7.6557,1.0734e-16,0.72945,0.059609,0.3
-2418.2,-39.502,7.7262,1.0214e-16,0.72193,0.06112,0.3
-2488.8,-39.873,7.8029,1.0248e-16,0.71455,0.062597,0.3
-2619.5,-40.412,7.9079,8.8045e-17,0.7073,0.064037,0.3
-2710.4,-41.063,8.0317,9.2836e-17,0.70019,0.065441,0.3
-2828.2,-41.738,8.1609,1.0706e-16,0.69323,0.066806,0.3
-2927,-42.161,8.2445,8.5528e-17,0.68641,0.068134,0.3
-3025.5,-43.125,8.1925,1.0052e-16,0.67973,0.069424,0.3
-3098.8,-43.271,8.2191,9.3895e-17,0.67319,0.070677,0.3
-3174.4,-43.778,8.3137,7.5168e-17,0.6668,0.071893,0.3
-3259.7,-44.057,8.3677,6.9242e-17,0.66054,0.073072,0.3
-3346.1,-44.471,8.4439,9.8027e-17,0.65441,0.074216,0.3
-3483.5,-45.266,8.5975,6.4071e-17,0.64841,0.075326,0.3
-3560.1,-45.455,8.6323,7.7966e-17,0.64253,0.076403,0.3
-3735.6,-46.987,8.817,4.2647e-17,0.63676,0.077449,0.3
-3826,-47.544,8.6228,9.3251e-17,0.62553,0.079454,0.3
-3994.4,-48.03,8.7119,8.2667e-17,0.61467,0.081356,0.3
-4161.1,-48.911,8.8706,6.6702e-17,0.60408,0.083168,0.3
-4401.6,-49.942,9.0558,5.2858e-17,0.59371,0.084909,0.3
-4724.8,-52.456,8.8556,8.0248e-17,0.57331,0.088234,0.3
-5079.6,-54.209,9.1483,8.1628e-17,0.55289,0.091441,0.3
-5379.6,-55.716,9.3983,1.0492e-16,0.54253,0.093026,0.3
-5612.5,-58.436,8.849,6.2606e-17,0.53202,0.094607,0.3
-5724.3,-58.466,8.8434,4.8083e-17,0.52133,0.096185,0.3
-5903,-59.124,8.9421,7.0313e-17,0.51044,0.097759,0.3
-6203.8,-60.704,9.18,4.5794e-17,0.49935,0.099326,0.3
-6754,-64.747,9.7196,6.004e-17,0.48806,0.10088,0.3
-6698.1,-64.277,8.2394,6.4711e-17,0.47659,0.10241,0.3
-6866.2,-64.591,8.2739,-5.0462e-18,0.46494,0.10391,0.3
-7222.7,-66.464,8.5077,6.0727e-17,0.45315,0.10537,0.3
-7773.2,-70.418,9.0238,6.9328e-17,0.44125,0.10678,0.3
-8010.9,-72.191,7.0293,5.8934e-17,0.41723,0.10939,0.3
-8383.4,-74.623,7.2619,6.092e-18,0.40519,0.11056,0.3
-9156.4,-81.267,7.8294,3.8143e-17,0.39319,0.11163,0.3
-9061.1,-81.418,4.5821,7.1095e-17,0.38125,0.11258,0.3
-9142.7,-82.068,4.5884,9.2014e-17,0.36942,0.1134,0.3
-9571.7,-84.426,4.6918,1.0868e-16,0.35774,0.11409,0.3
-11271,-97.114,5.0814,1.0373e-16,0.34624,0.11463,0.3
-10031,-90.318,0.012593,8.1609e-17,0.33495,0.11501,0.3
-10008,-89.331,-0.0027277,7.121e-17,0.32389,0.11524,0.3
-10337,-91.263,-0.018358,6.0964e-17,0.31308,0.11531,0.3
-11253,-107.22,-6.1896,6.8987e-17,0.30254,0.11521,0.3
-10440,-97.222,-5.7619,8.2656e-17,0.29227,0.11496,0.3
-10275,-95.641,-5.667,1.0397e-16,0.28227,0.11455,0.3
-10452,-93.991,-5.5981,7.839e-17,0.27254,0.11399,0.3
-12060,-105.69,-7.2582,6.6512e-17,0.26307,0.1133,0.3
-10576,-100.95,-11.838,5.7891e-17,0.25385,0.11246,0.3
-10157,-96.541,-11.248,2.491e-17,0.24487,0.11151,0.3
-10146,-97.468,-11.438,1.1701e-16,0.2361,0.11043,0.3
-10405,-98.392,-11.567,1.132e-16,0.22753,0.10924,0.3
-10621,-106.11,-18.473,1.2019e-16,0.21914,0.10796,0.3
-9927.9,-100.91,-17.605,2.4472e-17,0.21091,0.10658,0.3
-9631.7,-98.887,-17.263,8.7798e-17,0.20281,0.10512,0.3
-9717.8,-98.779,-17.294,6.7033e-17,0.19482,0.10357,0.3
-9489.6,-101.79,-23.648,4.66e-17,0.1791,0.10025,0.3
-8902.1,-98.06,-22.866,1.6666e-16,0.16358,0.096606,0.3
-9031.4,-104.16,-30.731,1.1999e-16,0.14816,0.092617,0.3
-8246.4,-98.705,-29.162,9.2594e-17,0.14047,0.090475,0.3
-7997.6,-97.022,-28.701,1.254e-16,0.13277,0.088223,0.3
-8053.6,-97.456,-28.823,1.6178e-16,0.12508,0.085853,0.3
-8056.5,-103.14,-37.801,1.3225e-16,0.1174,0.083358,0.3
-7198,-96.736,-35.521,6.8589e-17,0.10973,0.080729,0.3
-6778.4,-94.133,-34.57,2.2865e-16,0.10211,0.077963,0.3
-6896,-95.571,-35.183,2.0749e-16,0.094531,0.075054,0.3
-6416,-96.815,-43.619,1.8208e-16,0.087039,0.072003,0.3
-5429.4,-91.176,-41.147,1.4398e-16,0.07966,0.06881,0.3
-5033.4,-89.115,-40.244,1.4185e-16,0.072436,0.065481,0.3
